caseID	prot_aliquot	type	caseIDd	withProt	withRNA
C3N-00437-N	CPT0012570003	Normal	C3N-00437	TRUE	FALSE
C3N-00491-N	CPT0012640003	Normal	C3N-00491	TRUE	TRUE
C3N-00317-N	CPT0012290003	Normal	C3N-00317	TRUE	FALSE
C3N-00310-N	CPT0009020003	Normal	C3N-00310	TRUE	TRUE
C3N-00390-N	CPT0017450001	Normal	C3N-00390	TRUE	TRUE
C3N-00312-N	CPT0009080003	Normal	C3N-00312	TRUE	FALSE
C3N-00494-N	CPT0012920003	Normal	C3N-00494	TRUE	TRUE
C3N-01648-T	CPT0088550004	Tumor	C3N-01648	TRUE	TRUE
C3N-01214-T	CPT0075560003	Tumor	C3N-01214	TRUE	TRUE
C3N-00646-T	CPT0081990003	Tumor	C3N-00646	TRUE	TRUE
C3L-00766-T	CPT0025170003	Tumor	C3L-00766	TRUE	TRUE
C3L-00360-T	CPT0002350011	Tumor	C3L-00360	TRUE	TRUE
C3L-00790-T	CPT0065690003	Tumor	C3L-00790	TRUE	TRUE
C3N-00154-T	CPT0081880003	Tumor	C3N-00154	TRUE	TRUE
C3L-00765-T	CPT0015910003	Tumor	C3L-00765	TRUE	TRUE
C3N-00150-T	CPT0066480003	Tumor	C3N-00150	TRUE	TRUE
C3L-01283-T	CPT0079380003	Tumor	C3L-01283	TRUE	TRUE
C3N-00315-T	CPT0012180003	Tumor	C3N-00315	TRUE	TRUE
C3N-00177-T	CPT0020120003	Tumor	C3N-00177	TRUE	TRUE
C3L-00561-T	CPT0023350003	Tumor	C3L-00561	TRUE	TRUE
C3L-00800-T	CPT0025290003	Tumor	C3L-00800	TRUE	TRUE
C3L-01882-T	CPT0092730003	Tumor	C3L-01882	TRUE	TRUE
C3N-00491-T	CPT0012670003	Tumor	C3N-00491	TRUE	TRUE
C3N-00577-T	CPT0069160003	Tumor	C3N-00577	TRUE	TRUE
C3L-00079-T	CPT0001260009	Tumor	C3L-00079	TRUE	TRUE
C3N-01220-T	CPT0076330003	Tumor	C3N-01220	TRUE	TRUE
C3L-01607-T	CPT0092160003	Tumor	C3L-01607	TRUE	TRUE
C3N-00953-T	CPT0065430003	Tumor	C3N-00953	TRUE	TRUE
C3N-00380-T	CPT0021240003	Tumor	C3N-00380	TRUE	TRUE
C3N-00317-T	CPT0012280003	Tumor	C3N-00317	TRUE	TRUE
C3N-00305-T	CPT0011240003	Tumor	C3N-00305	TRUE	TRUE
C3N-00437-T	CPT0012550003	Tumor	C3N-00437	TRUE	TRUE
C3N-01651-T	CPT0088690003	Tumor	C3N-01651	TRUE	TRUE
C3L-00908-T	CPT0086360003	Tumor	C3L-00908	TRUE	TRUE
C3L-00416-T	CPT0010110003	Tumor	C3L-00416	TRUE	TRUE
C3N-00733-T	CPT0025880003	Tumor	C3N-00733	TRUE	TRUE
C3L-00610-T	CPT0025110003	Tumor	C3L-00610	TRUE	TRUE
C3N-01213-T	CPT0075720003	Tumor	C3N-01213	TRUE	TRUE
C3N-01200-T	CPT0075130003	Tumor	C3N-01200	TRUE	TRUE
C3N-01361-T	CPT0088760003	Tumor	C3N-01361	TRUE	TRUE
C3L-00183-T	CPT0066470004	Tumor	C3L-00183	TRUE	TRUE
C3L-01861-T	CPT0092290003	Tumor	C3L-01861	TRUE	TRUE
C3L-00917-T	CPT0023690003	Tumor	C3L-00917	TRUE	TRUE
C3L-00817-T	CPT0065870003	Tumor	C3L-00817	TRUE	TRUE
C3L-00581-T	CPT0007320003	Tumor	C3L-00581	TRUE	TRUE
C3L-00004-T	CPT0001540009	Tumor	C3L-00004	TRUE	TRUE
C3N-01524-T	CPT0077310003	Tumor	C3N-01524	TRUE	TRUE
C3L-01302-T	CPT0063630003	Tumor	C3L-01302	TRUE	TRUE
C3L-01836-T	CPT0086870003	Tumor	C3L-01836	TRUE	TRUE
C3N-00314-T	CPT0012080003	Tumor	C3N-00314	TRUE	TRUE
C3L-01287-T	CPT0079410003	Tumor	C3L-01287	TRUE	TRUE
C3N-00149-T	CPT0084560003	Tumor	C3N-00149	TRUE	TRUE
C3N-00148-T	CPT0081600003	Tumor	C3N-00148	TRUE	TRUE
C3N-00390-T	CPT0017410003	Tumor	C3N-00390	TRUE	TRUE
C3L-01885-T	CPT0092790003	Tumor	C3L-01885	TRUE	TRUE
C3N-00495-T	CPT0078510003	Tumor	C3N-00495	TRUE	TRUE
C3N-01646-T	CPT0088480003	Tumor	C3N-01646	TRUE	TRUE
C3L-00813-T	CPT0015810003	Tumor	C3L-00813	TRUE	TRUE
C3L-00812-T	CPT0025350003	Tumor	C3L-00812	TRUE	TRUE
C3N-00494-T	CPT0012900004	Tumor	C3N-00494	TRUE	TRUE
C3N-00573-T	CPT0069000003	Tumor	C3N-00573	TRUE	TRUE
C3L-01560-T	CPT0086030003	Tumor	C3L-01560	TRUE	TRUE
C3N-01649-T	CPT0088630003	Tumor	C3N-01649	TRUE	TRUE
C3L-00792-T	CPT0015730003	Tumor	C3L-00792	TRUE	TRUE
C3N-01179-T	CPT0088900003	Tumor	C3N-01179	TRUE	TRUE
C3N-00168-T	CPT0019990003	Tumor	C3N-00168	TRUE	TRUE
C3L-00607-T	CPT0025050003	Tumor	C3L-00607	TRUE	TRUE
C3L-00907-T	CPT0064370003	Tumor	C3L-00907	TRUE	TRUE
C3N-01178-T	CPT0078990003	Tumor	C3N-01178	TRUE	TRUE
C3L-00902-T	CPT0063320003	Tumor	C3L-00902	TRUE	TRUE
C3N-00831-T	CPT0089020003	Tumor	C3N-00831	TRUE	TRUE
C3L-00096-T	CPT0001180009	Tumor	C3L-00096	TRUE	TRUE
C3N-00194-T	CPT0014160003	Tumor	C3N-00194	TRUE	TRUE
